Section,Key,Value
Essentials,Product Collection,Intel® RAID Premium Features
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q1'11
Essentials,Expected Discontinuance,Q4 '16
Essentials,EOL Announce,"Tuesday, November 15, 2016"
Essentials,Last Order,"Monday, May 15, 2017"
Essentials,Last Receipt Attributes,"Friday, September 15, 2017"
Essentials,Long Life,No
Essentials,Target Market,Scalable Performance
Essentials,Board Form Factor,Activation Key
Essentials,Included Items,Upgrade Key to enable Drive Encryption Management for Intel RAID 6G ROC Products.
Supplemental Information,Description,Upgrade Key to enable Drive Encryption Management for Intel RAID 6G ROC Products.
