Section,Key,Value
Essentials,Product Collection,Intel Atom® Processor X Series
Essentials,Code Name,Products formerly Braswell
Essentials,Vertical Segment,Embedded
Essentials,Processor Number,E8000
Essentials,Lithography,14 nm
Essentials,Recommended Customer Price,$18.00
CPU Specifications,Total Cores,4
CPU Specifications,Total Threads,4
CPU Specifications,Processor Base Frequency,1.04 GHz
CPU Specifications,Cache,2 MB
CPU Specifications,TDP,5 W
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q1'16
Supplemental Information,Servicing Status,End of Servicing Lifetime
Supplemental Information,End of Servicing Updates Date,"Thursday, June 30, 2022"
Supplemental Information,Embedded Options Available,Yes
Supplemental Information,Use Conditions,"Embedded Broad Market Commercial Temp, PC/Client/Tablet"
Memory Specifications,Max Memory Size (dependent on memory type),8 GB
Memory Specifications,Memory Types,DDR3L-1600
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,ECC Memory Supported‡,No
GPU Specifications,GPU Name‡,Intel® HD Graphics for Intel® Celeron® Processor N3000 Series
GPU Specifications,Graphics Base Frequency,320 MHz
GPU Specifications,Graphics Output,eDP/DP/HDMI
GPU Specifications,Execution Units,12
GPU Specifications,DirectX* Support,Yes
GPU Specifications,OpenGL* Support,Yes
GPU Specifications,Intel® Quick Sync Video,Yes
GPU Specifications,Intel® InTru™ 3D Technology,No
GPU Specifications,Intel® Clear Video HD Technology,Yes
GPU Specifications,Intel® Clear Video Technology,Yes
GPU Specifications,# of Displays Supported‡,3
Expansion Options,PCI Express Revision,2.0
Expansion Options,PCI Express Configurations‡,1x4/2x2/1x2 + 2x1/4x1
Expansion Options,Max # of PCI Express Lanes,4
Package Specifications,Sockets Supported,FCBGA1170
Package Specifications,Max CPU Configuration,1
Package Specifications,TJUNCTION,90°C
Package Specifications,Package Size,25mm x 27mm
Advanced Technologies,Intel® Turbo Boost Technology‡,No
Advanced Technologies,Intel® Hyper-Threading Technology‡,No
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Idle States,Yes
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Advanced Technologies,Intel® Identity Protection Technology‡,Yes
Security & Reliability,Intel® Secure Key,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,No
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
