Section,Key,Value
Essentials,Product Collection,Intel® Xeon® W Processor
Essentials,Code Name,Products formerly Skylake
Essentials,Vertical Segment,Server
Essentials,Processor Number,W-2125
Essentials,Lithography,14 nm
Essentials,Recommended Customer Price,$444.00
CPU Specifications,Total Cores,4
CPU Specifications,Total Threads,8
CPU Specifications,Max Turbo Frequency,4.50 GHz
CPU Specifications,Processor Base Frequency,4.00 GHz
CPU Specifications,Cache,8.25 MB
CPU Specifications,Max # of UPI Links,0
CPU Specifications,Bus Speed,8 GT/s
CPU Specifications,# of QPI Links,0
CPU Specifications,TDP,120 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q3'17
Supplemental Information,Servicing Status,End of Servicing Updates
Supplemental Information,End of Servicing Updates Date,"Sunday, December 31, 2023"
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),512 GB
Memory Specifications,Memory Types,DDR4 1600/1866/2133/2400/2666
Memory Specifications,Max # of Memory Channels,4
Memory Specifications,Max Memory Bandwidth,85.3 GB/s
Memory Specifications,Physical Address Extensions,46-bit
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,Scalability,1S Only
Expansion Options,PCI Express Revision,3.0
Expansion Options,PCI Express Configurations‡,"x4, x8, x16"
Expansion Options,Max # of PCI Express Lanes,48
Package Specifications,Sockets Supported,FCLGA2066
Package Specifications,Max CPU Configuration,1
Package Specifications,TCASE,64
Package Specifications,Package Size,45mm x 52.5mm
Advanced Technologies,Intel® Optane™ Memory Supported‡,No
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Max Technology 3.0‡,No
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512"
Advanced Technologies,# of AVX-512 FMA Units,2
Advanced Technologies,Idle States,Yes
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Intel® Demand Based Switching,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Advanced Technologies,Intel® Flex Memory Access,No
Advanced Technologies,Intel® Identity Protection Technology‡,Yes
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel vPro® Eligibility‡,Intel vPro® Platform
Security & Reliability,Intel® Secure Key,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Software Guard Extensions (Intel® SGX),No
Security & Reliability,Intel® Memory Protection Extensions (Intel® MPX),Yes
Security & Reliability,Intel® OS Guard,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Boot Guard,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
