Section,Key,Value
Essentials,Product Collection,Intel® Ethernet E830 Network Adapters (up to 200GbE)
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q3'25
Essentials,Vertical Segment,Server
Essentials,Cable Medium,"Copper, Fiber"
Essentials,Cabling Type,"SFP28 ports - DAC, Optics, and AOCs"
Essentials,Bracket Height,OCP 3.0 DSFF
Essentials,Supported Operating Systems,View now
Supplemental Information,Description,Precision timing follower
Supplemental Information,Product Brief,View now
Networking Specifications,Port Configuration,8-Port
Networking Specifications,Data Rate Per Port,25/10Gb
Networking Specifications,Intel® Virtualization Technology for Connectivity (VT-c),Yes
Networking Specifications,Speed & Slot Width,16 GT/s x16 lanes
Networking Specifications,Controller,Intel Ethernet Controller E830
Package Specifications,System Interface Type,PCIe 4.0 (16 GT/s)
Intel® Virtualization Technology for Connectivity,On-chip QoS and Traffic Management,Yes
Intel® Virtualization Technology for Connectivity,Flexible Port Partitioning,Yes
Intel® Virtualization Technology for Connectivity,Virtual Machine Device Queues (VMDq),Yes
Intel® Virtualization Technology for Connectivity,PCI-SIG* SR-IOV Capable,Yes
Advanced Technologies,iWARP/RDMA,No
Advanced Technologies,RoCEv2/RDMA,No
Advanced Technologies,Intel® Data Direct I/O Technology,Yes
Advanced Technologies,Intelligent Offloads,Yes
Advanced Technologies,Storage Over Ethernet,"iSCSI, NFS"
