Section,Key,Value
Essentials,Product Collection,Intel® Pentium® Processor 6800 Series
Essentials,Code Name,Products formerly Ice Lake
Essentials,Vertical Segment,Mobile
Essentials,Processor Number,6805
Essentials,Lithography,10 nm
CPU Specifications,Total Cores,2
CPU Specifications,Total Threads,4
CPU Specifications,Max Turbo Frequency,3.00 GHz
CPU Specifications,Burst Frequency,3.00 GHz
CPU Specifications,Processor Base Frequency,1.10 GHz
CPU Specifications,Cache,4 MB
CPU Specifications,TDP,15 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q4'20
Supplemental Information,Embedded Options Available,No
Supplemental Information,Use Conditions,PC/Client/Tablet
Supplemental Information,Datasheet,View now
Memory Specifications,Max Memory Size (dependent on memory type),64 GB
Memory Specifications,Memory Types,"DDR4-3200, LPDDR4-3733"
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,ECC Memory Supported‡,No
GPU Specifications,GPU Name‡,Intel® UHD Graphics for 10th Gen Intel® Processors
GPU Specifications,Graphics Base Frequency,300 MHz
GPU Specifications,Graphics Burst Frequency,850 MHz
GPU Specifications,Graphics Max Dynamic Frequency,850 MHz
GPU Specifications,Execution Units,32
GPU Specifications,# of Displays Supported‡,3
Package Specifications,Sockets Supported,FCBGA1526
Package Specifications,Max CPU Configuration,1
Package Specifications,TJUNCTION,100°C
Package Specifications,Package Size,50mm x 25mm
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,No
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Idle States,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Security & Reliability,Intel® Secure Key,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,No
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® OS Guard,Yes
Security & Reliability,Intel® Stable IT Platform Program (SIPP),No
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
