Section,Key,Value
Essentials,Product Collection,Intel® Wireless 3100 Series
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q3'13
Essentials,Weight (in grams),3.4
Essentials,Operating Temperature Range,0°C to 80°C
Essentials,Max Operating Temperature,80 °C
Essentials,Minimum Operating Temperature,0 °C
Essentials,Supported Operating Systems,"Windows 10, 32-bit*, Windows 10, 64-bit*, Windows 8.1, 32-bit*, Windows 8.1, 64-bit*, Windows 8, 32-bit*, Windows 8, 64-bit*, Windows 7, 32-bit*, Windows 7, 64-bit*, Linux*"
Essentials,Antenna,1x1
Networking Specifications,TX/RX Streams,1x1
Networking Specifications,Bands,"2.4GHz, 5GHz"
Networking Specifications,Max Speed,433 Mbps
Networking Specifications,Wi-Fi CERTIFIED*,802.11ac
Networking Specifications,Compliance,"FIPS, FISMA"
Networking Specifications,Integrated Bluetooth,Yes
Networking Specifications,Bluetooth Version,4.0
Package Specifications,Board Form Factor,HMC/M.2
Package Specifications,Package Size,See product brief
Package Specifications,System Interface Type,"PCIe, USB"
Advanced Technologies,MU-MIMO,No
Advanced Technologies,Supported Under Intel vPro® Technology,No
