Section,Key,Value
Essentials,Product Collection,5th Generation Intel® Core™ i5 Processors
Essentials,Code Name,Products formerly Broadwell
Essentials,Vertical Segment,Mobile
Essentials,Processor Number,i5-5287U
Essentials,Lithography,14 nm
CPU Specifications,Total Cores,2
CPU Specifications,Total Threads,4
CPU Specifications,Max Turbo Frequency,3.30 GHz
CPU Specifications,Intel® Turbo Boost Technology 2.0 Frequency‡,3.30 GHz
CPU Specifications,Processor Base Frequency,2.90 GHz
CPU Specifications,Cache,3 MB
CPU Specifications,Bus Speed,5 GT/s
CPU Specifications,TDP,28 W
CPU Specifications,Configurable TDP-down Base Frequency,600 MHz
CPU Specifications,Configurable TDP-down,23 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q1'15
Supplemental Information,Servicing Status,End of Servicing Lifetime
Supplemental Information,End of Servicing Updates Date,"Wednesday, June 30, 2021"
Supplemental Information,Embedded Options Available,No
Supplemental Information,Datasheet,View now
Memory Specifications,Max Memory Size (dependent on memory type),16 GB
Memory Specifications,Memory Types,"DDR3L 1333/1600, LPDDR3 1600/1866"
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,Max Memory Bandwidth,25.6 GB/s
GPU Specifications,GPU Name‡,Intel® Iris® Graphics 6100
GPU Specifications,Graphics Base Frequency,300 MHz
GPU Specifications,Graphics Max Dynamic Frequency,1.10 GHz
GPU Specifications,Graphics Video Max Memory,16 GB
GPU Specifications,Graphics Output,eDP/DP/HDMI
GPU Specifications,Max Resolution (HDMI)‡,2560X1600@60Hz
GPU Specifications,Max Resolution (DP)‡,3840x2160@60Hz
GPU Specifications,DirectX* Support,11.2/12
GPU Specifications,OpenGL* Support,4.3
GPU Specifications,Intel® Quick Sync Video,Yes
GPU Specifications,Intel® InTru™ 3D Technology,Yes
GPU Specifications,Intel® Flexible Display Interface (Intel® FDI),Yes
GPU Specifications,Intel® Clear Video HD Technology,Yes
GPU Specifications,Intel® Clear Video Technology,Yes
GPU Specifications,# of Displays Supported‡,3
GPU Specifications,Device ID,0x162B
Expansion Options,PCI Express Revision,2.0
Expansion Options,PCI Express Configurations‡,"4x1, 2x4"
Expansion Options,Max # of PCI Express Lanes,12
Package Specifications,Sockets Supported,FCBGA1168
Package Specifications,Max CPU Configuration,1
Package Specifications,TJUNCTION,105°C
Package Specifications,Package Size,40mm x24mm x 1.3mm
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,No
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
Advanced Technologies,Idle States,Yes
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Advanced Technologies,Intel® Fast Memory Access,Yes
Advanced Technologies,Intel® Flex Memory Access,Yes
Advanced Technologies,Intel® Identity Protection Technology‡,Yes
Advanced Technologies,Intel® Smart Response Technology,Yes
Security & Reliability,Intel® Secure Key,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,No
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® OS Guard,Yes
Security & Reliability,Intel® Stable IT Platform Program (SIPP),No
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
