Section,Key,Value
Essentials,Product Collection,3rd Gen Intel® Xeon® Scalable Processors
Essentials,Code Name,Products formerly Cooper Lake
Essentials,Vertical Segment,Server
Essentials,Processor Number,8380HL
Essentials,Lithography,14 nm
Essentials,Recommended Customer Price,$13012.00
CPU Specifications,Total Cores,28
CPU Specifications,Total Threads,56
CPU Specifications,Max Turbo Frequency,4.30 GHz
CPU Specifications,Processor Base Frequency,2.90 GHz
CPU Specifications,Cache,38.5 MB
CPU Specifications,Max # of UPI Links,6
CPU Specifications,TDP,250 W
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q2'20
Supplemental Information,Servicing Status,Baseline Servicing
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),4.5 TB
Memory Specifications,Memory Types,DDR4 RDIMM
Memory Specifications,Maximum Memory Speed,3200 MHz
Memory Specifications,Max # of Memory Channels,6
Memory Specifications,Intel® Optane™ Persistent Memory Supported,Yes
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,Scalability,S8S
Expansion Options,PCI Express Revision,3.0
Expansion Options,Max # of PCI Express Lanes,48
Package Specifications,Sockets Supported,FCLGA4189
Package Specifications,Package Size,77.5x56.5mm
Advanced Technologies,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Advanced Technologies,Intel® Resource Director Technology (Intel® RDT),Yes
Advanced Technologies,Intel® Optane™ Memory Supported‡,Yes
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512"
Advanced Technologies,# of AVX-512 FMA Units,2
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Run Sure Technology,Yes
Security & Reliability,Mode-based Execute Control (MBEC),Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
