Section,Key,Value
Essentials,Product Collection,IoT & Edge Intel® Wi-Fi Series
Essentials,Code Name,Products formerly Thunder Peak
Essentials,Marketing Status,Launched
Essentials,Launch Date,Q1'19
Essentials,Weight (in grams),3.2
Essentials,Operating Temperature Range,-40 °C to 50 °C
Essentials,Max Operating Temperature,50 °C
Essentials,Minimum Operating Temperature,-40 °C
Essentials,Supported Operating Systems,"Windows 10 IoT Enterprise*, Linux*"
Essentials,Antenna,2x2
Essentials,Use Conditions,Industrial Extended Temp
Networking Specifications,TX/RX Streams,2x2
Networking Specifications,Bands,"2.4, 5 GHz"
Networking Specifications,Max Speed,1.73 Gbps
Networking Specifications,Wi-Fi CERTIFIED*,Wi-Fi 5 (802.11ac)
Networking Specifications,Compliance,"FIPS, FISMA"
Networking Specifications,Integrated Bluetooth,Yes
Networking Specifications,Bluetooth Version,5.1
Package Specifications,Board Form Factor,M.2 2230
Package Specifications,Package Size,22mm x 30mm x 2.4mm
Package Specifications,System Interface Type,"Wi-Fi(PCIe), BT(USB)"
Advanced Technologies,MU-MIMO,Yes
Advanced Technologies,Supported Under Intel vPro® Technology,Yes
