Section,Key,Value
Essentials,Product Collection,Intel® Server Chassis R2000WF Family
Essentials,Code Name,Products formerly Big Horn Peak
Essentials,Launch Date,Q3'17
Essentials,Marketing Status,Discontinued
Essentials,Expected Discontinuance,2023
Essentials,EOL Announce,"Friday, May 5, 2023"
Essentials,Last Order,"Friday, June 30, 2023"
Essentials,Limited 3-year Warranty,Yes
Essentials,Chassis Form Factor,"2U, Spread Core Rack"
Essentials,Chassis Dimensions,"16.93"" x 27.95"" x 3.44"""
Essentials,Target Market,Cloud/Datacenter
Essentials,Redundant Fans,Yes
Essentials,Redundant Power Supported,"Supported, requires additional power supply"
Essentials,Backplanes,Sold Separately
Essentials,Included Items,"(1) Standard control panel assembly (installed)(1) Front I/O Panel assembly (VGA+2x USB 3.0) installed(2) Rack chassis handle (1 set) A2UHANDLKIT(1) Standard 2U Air duct(6) 60mm Hot swap system fan FR2UFAN60HSW(2) CPU heat sink(2)  CPU heat sink “No CPU” label insert(2) Standard CPU Carrier(1) 3x RMFBU Mounting Bracket(16) DIMM slot blank(1) 175mm I2C cable(1) 250mm I2C cable(1) 400/525/600mm HSBP Pwr Cable(1) Internal fixed mount 250mm SSD drive power cable(2) Riser Card mounting brackets supporting up to 3 riser cards  (riser cards sold separately)(1) Power supply bay blank insert (Power Supplies sold separately(2) AC Power Cord retention strap assembly, (drive-bay options sold separately)"
Supplemental Information,Description,"2U server chassis designed for the Intel® Server Board S2600WF family. Drive cages with backplane and carriers, risers, SAS cables and power supply are sold separately"
Package Specifications,Max CPU Configuration,2
