Section,Key,Value
Essentials,Product Collection,Intel® RAID Controllers
Essentials,Code Name,Products formerly Mohave Canyon
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q2'14
Essentials,Expected Discontinuance,Q2'17
Essentials,EOL Announce,"Tuesday, March 28, 2017"
Essentials,Last Order,"Friday, September 29, 2017"
Essentials,Last Receipt Attributes,"Monday, January 29, 2018"
Essentials,Target Market,Scalable Performance
Essentials,Board Form Factor,Low Profile MD2 Card
Essentials,Data Transfer Rate,12 Gb/s
Essentials,Supported Devices,SAS/SATA
Essentials,RAID Level Supported,"0, 1, 10, 5, 50, 6, 60"
Essentials,JBOD Mode,No
Essentials,# of Ports Internal,4
Essentials,# of Ports External,4
Essentials,# of Devices Supported,240
Essentials,Cache Memory,1GB
Essentials,PCIe Host Interface,PCIe x8 Gen3
Essentials,IO Processor Model,LSI3108
Essentials,Extended Warranty Available for Purchase (Select Countries),Yes
Essentials,Additional Extended Warranty Details,Intel® RAID Extended Warranty
Essentials,Included Items,(1) RAID add-in-card with full height and low profile brackets.
Supplemental Information,Description,"12-Gb/s SAS, 6-Gb/s SATA intelligent RAID."
